simulation name, date,DB_name,adaptive_optimizer,decay_epochs,depth,drop_h,drop_i,drop_o,hidden_size,init_bias,init_scale,learning_rate,lr_decay,mask,max_grad_norm,max_max_epoch,num_layers,num_steps,reset_weights_flag,start_time,state_gate,switch_to_asgd,weight_decay,wind_step_size,accuracy_window_1,accuracy_window_2,total_accuracy,corr_window_1,corr_window_2,corr_total,bbox_1,bbox_2
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-07,CCver5_db,RMSProp,[10152025303540],6,0.4,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,40,1,25,True,4000,True,40,3e-06,100,0.5461,0.5315,0.5380,0.0706,0.0504,0.0597,8.096,3.138
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__1,2017-12-07,CCver5_db,RMSProp,[10152025303540],6,0.4,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,45,1,25,True,4000,True,40,3e-06,100,0.5456,0.5311,0.5375,0.0687,0.0490,0.0580,7.583,3.142
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__2,2017-12-08,CCver5_db,RMSProp,[10152025303540],6,0.4,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,3e-06,100,0.5465,0.5308,0.5377,0.0686,0.0486,0.0580,7.625,3.099
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-08,CCver5_db,RMSProp,[10152025303540],4,0.4,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,3e-06,100,0.5456,0.5317,0.5378,0.0697,0.0506,0.0593,8.134,3.007
rhn_dep=3__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-09,CCver5_db,RMSProp,[10152025303540],3,0.4,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,3e-06,100,0.5462,0.5309,0.5377,0.0709,0.0491,0.0591,7.759,3.398
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__1,2017-12-09,CCver5_db,RMSProp,[10152025303540],4,0.5,0.0,0.8,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,3e-06,100,0.5453,0.5301,0.5368,0.0696,0.0475,0.0575,8.059,2.938
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd__0,2017-12-10,CCver5_db,RMSProp,[10152025303540],4,0.3,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,3e-06,100,0.5462,0.5323,0.5384,0.0681,0.0505,0.0584,7.707,3.655
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd__1,2017-12-10,CCver5_db,RMSProp,[10152025303540],4,0.3,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,3e-06,100,0.5456,0.5311,0.5375,0.0677,0.0504,0.0580,7.694,2.891
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-10,CCver5_db,RMSProp,[35],8,0.04,0.1,0.0,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,True,4000,True,35,3e-06,100,0.5420,0.5300,0.5353,0.0635,0.0433,0.0525,7.223,2.525
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-10,CCver5_db,RMSProp,[35],8,0.04,0.1,0.0,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,True,4000,True,35,3e-06,100,0.5435,0.5295,0.5357,0.0635,0.0447,0.0534,7.398,2.681
