simulation name, date,DB_name,adaptive_optimizer,concat_tar_2_feat,decay_epochs,depth,drop_h,drop_i,drop_o,esimation_epoch,estimation_flag,hidden_size,init_bias,init_scale,learning_rate,lr_decay,mask,max_grad_norm,max_max_epoch,num_layers,num_steps,out_size,reset_weights_flag,start_time,state_gate,switch_to_asgd,weight_decay,wind_step_size,accuracy_window_1,accuracy_window_2,total_accuracy,corr_window_1,corr_window_2,corr_total,bbox_1,bbox_2
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-07,CCver5_db,RMSProp,False,[10152025303540],6,0.4,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5461,0.5315,0.5380,0.0706,0.0504,0.0597,8.096,3.138
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__1,2017-12-07,CCver5_db,RMSProp,False,[10152025303540],6,0.4,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,45,1,25,1,True,4000,True,40,3e-06,100,0.5456,0.5311,0.5375,0.0687,0.0490,0.0580,7.583,3.142
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__2,2017-12-08,CCver5_db,RMSProp,False,[10152025303540],6,0.4,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5465,0.5308,0.5377,0.0686,0.0486,0.0580,7.625,3.099
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-08,CCver5_db,RMSProp,False,[10152025303540],4,0.4,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5456,0.5317,0.5378,0.0697,0.0506,0.0593,8.134,3.007
rhn_dep=3__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-09,CCver5_db,RMSProp,False,[10152025303540],3,0.4,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5462,0.5309,0.5377,0.0709,0.0491,0.0591,7.759,3.398
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__1,2017-12-09,CCver5_db,RMSProp,False,[10152025303540],4,0.5,0.0,0.8,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5453,0.5301,0.5368,0.0696,0.0475,0.0575,8.059,2.938
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd__0,2017-12-10,CCver5_db,RMSProp,False,[10152025303540],4,0.3,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5462,0.5323,0.5384,0.0681,0.0505,0.0584,7.707,3.655
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd__1,2017-12-10,CCver5_db,RMSProp,False,[10152025303540],4,0.3,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5456,0.5311,0.5375,0.0677,0.0504,0.0580,7.694,2.891
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5420,0.5300,0.5353,0.0635,0.0433,0.0525,7.223,2.525
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5435,0.5295,0.5357,0.0635,0.0447,0.0534,7.398,2.681
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5435,0.5301,0.5360,0.0620,0.0445,0.0527,7.161,2.943
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__4,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5434,0.5302,0.5361,0.0627,0.0444,0.0529,8.034,2.599
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=50_Rst_Rnd_Srv__6,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,50,0.5448,0.5291,0.5360,0.0653,0.0423,0.0529,6.728,2.066
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=50_Rst_Rnd_Srv__7,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,50,0.5426,0.5297,0.5354,0.0626,0.0419,0.0518,7.195,3.215
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-10,CCver5_db,RMSProp,False,[1015202530354045],6,0.4,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,45,1,25,1,True,4000,True,45,3e-06,100,0.5468,0.5311,0.5380,0.0693,0.0486,0.0582,7.857,3.432
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.04,0.1,0.0,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5433,0.5306,0.5362,0.0633,0.0465,0.0545,7.159,3.567
